TOP.614508ad.00042b5e	START
TOP.61450e77.000c5201	user_options->outfile_autohex	1
TOP.61450e77.000c5201	user_options->outfile_check_timer	5
TOP.61450e77.000c5201	user_options->outfile_format	3
TOP.61450e77.000c5201	user_options->wordlist_autohex_disable	0
TOP.61450e77.000c5201	user_options->potfile_disable	0
TOP.61450e77.000c5201	user_options->progress_only	0
TOP.61450e77.000c5201	user_options->quiet	1
TOP.61450e77.000c5201	user_options->remove	0
TOP.61450e77.000c5201	user_options->remove_timer	60
TOP.61450e77.000c5201	user_options->restore	0
TOP.61450e77.000c5201	user_options->restore_disable	1
TOP.61450e77.000c5201	user_options->restore_timer	60
TOP.61450e77.000c5201	user_options->rp_files_cnt	0
TOP.61450e77.000c5201	user_options->rp_gen	0
TOP.61450e77.000c5201	user_options->rp_gen_func_max	4
TOP.61450e77.000c5201	user_options->rp_gen_func_min	1
TOP.61450e77.000c5201	user_options->rp_gen_seed	0
TOP.61450e77.000c5201	user_options->runtime	0
TOP.61450e77.000c5201	user_options->scrypt_tmto	0
TOP.61450e77.000c5201	user_options->segment_size	33554432
TOP.61450e77.000c5201	user_options->self_test_disable	0
TOP.61450e77.000c5201	user_options->slow_candidates	0
TOP.61450e77.000c5201	user_options->show	1
TOP.61450e77.000c5201	user_options->speed_only	0
TOP.61450e77.000c5201	user_options->spin_damp	0
TOP.61450e77.000c5201	user_options->status	0
TOP.61450e77.000c5201	user_options->status_json	0
TOP.61450e77.000c5201	user_options->status_timer	10
TOP.61450e77.000c5201	user_options->stdout_flag	0
TOP.61450e77.000c5201	user_options->usage	0
TOP.61450e77.000c5201	user_options->username	0
TOP.61450e77.000c5201	user_options->veracrypt_pim_start	485
TOP.61450e77.000c5201	user_options->veracrypt_pim_stop	485
TOP.61450e77.000c5201	user_options->version	0
TOP.61450e77.000c5201	user_options->workload_profile	2
TOP.61450e77.000c5201	user_options->brain_client	0
TOP.61450e77.000c5201	user_options->brain_client_features	2
TOP.61450e77.000c5201	user_options->brain_server	0
TOP.61450e77.000c5201	user_options->brain_server_timer	300
TOP.61450e77.000c5201	user_options->brain_port	6863
TOP.61450e77.000c5201	user_options->brain_session	0
TOP.614513c9.000417f6	START
TOP.614513c9.000417f6	folder_config->cwd	D:\Desktop\Cyber-Oracle\src\venv\source_code\central_monitor\static\app_utilities\hashcat
TOP.614513c9.000417f6	folder_config->install_dir	.
TOP.614513c9.000417f6	folder_config->profile_dir	.
TOP.614513c9.000417f6	folder_config->session_dir	.
TOP.614513c9.000417f6	folder_config->shared_dir	.
TOP.614513c9.000417f6	user_options->encoding_from	utf-8
TOP.614513c9.000417f6	user_options->encoding_to	utf-8
TOP.614513c9.000417f6	user_options->rule_buf_l	:
TOP.614513c9.000417f6	user_options->rule_buf_r	:
TOP.614513c9.000417f6	user_options->session	show
TOP.614513c9.000417f6	user_options->separator	:
TOP.614513c9.000417f6	user_options->limit	0
TOP.614513c9.000417f6	user_options->skip	0
TOP.614513c9.000417f6	user_options->attack_mode	100
TOP.614513c9.000417f6	user_options->benchmark	0
TOP.614513c9.000417f6	user_options->benchmark_all	0
TOP.614513c9.000417f6	user_options->bitmap_max	18
TOP.614513c9.000417f6	user_options->bitmap_min	16
TOP.614513c9.000417f6	user_options->debug_mode	0
TOP.614513c9.000417f6	user_options->hash_info	0
TOP.614513c9.000417f6	user_options->force	0
TOP.614513c9.000417f6	user_options->hwmon_disable	0
TOP.614513c9.000417f6	user_options->hwmon_temp_abort	90
TOP.614513c9.000417f6	user_options->hash_mode	1000
TOP.614513c9.000417f6	user_options->hex_charset	0
TOP.614513c9.000417f6	user_options->hex_salt	0
TOP.614513c9.000417f6	user_options->hex_wordlist	0
TOP.614513c9.000417f6	user_options->hook_threads	0
TOP.614513c9.000417f6	user_options->identify	0
TOP.614513c9.000417f6	user_options->increment	0
TOP.614513c9.000417f6	user_options->increment_max	256
TOP.614513c9.000417f6	user_options->increment_min	1
TOP.614513c9.000417f6	user_options->keep_guessing	0
TOP.614513c9.000417f6	user_options->kernel_accel	0
TOP.614513c9.000417f6	user_options->kernel_loops	0
TOP.614513c9.000417f6	user_options->kernel_threads	0
TOP.614513c9.000417f6	user_options->keyspace	0
TOP.614513c9.000417f6	user_options->left	0
TOP.614513c9.000417f6	user_options->logfile_disable	0
TOP.614513c9.000417f6	user_options->loopback	0
TOP.614513c9.000417f6	user_options->machine_readable	0
TOP.614513c9.000417f6	user_options->markov_classic	0
TOP.614513c9.000417f6	user_options->markov_disable	0
TOP.614513c9.000417f6	user_options->markov_inverse	0
TOP.614513c9.000417f6	user_options->markov_threshold	256
TOP.614513c9.000417f6	user_options->multiply_accel_disable	0
TOP.614513c9.000417f6	user_options->backend_info	0
TOP.614513c9.000417f6	user_options->backend_vector_width	0
TOP.614513c9.000417f6	user_options->optimized_kernel_enable	0
TOP.614513c9.000417f6	user_options->outfile_autohex	1
TOP.614513c9.000417f6	user_options->outfile_check_timer	5
TOP.614513c9.000417f6	user_options->outfile_format	3
TOP.614513c9.000417f6	user_options->wordlist_autohex_disable	0
TOP.614513c9.000417f6	user_options->potfile_disable	0
TOP.614513c9.000417f6	user_options->progress_only	0
TOP.614513c9.000417f6	user_options->quiet	1
TOP.614513c9.000417f6	user_options->remove	0
TOP.614513c9.000417f6	user_options->remove_timer	60
TOP.614513c9.000417f6	user_options->restore	0
TOP.614513c9.000417f6	user_options->restore_disable	1
TOP.614513c9.000417f6	user_options->restore_timer	60
TOP.614513c9.000417f6	user_options->rp_files_cnt	0
TOP.614513c9.000417f6	user_options->rp_gen	0
TOP.614513c9.000417f6	user_options->rp_gen_func_max	4
TOP.614513c9.000417f6	user_options->rp_gen_func_min	1
TOP.614513c9.000417f6	user_options->rp_gen_seed	0
TOP.614513c9.000417f6	user_options->runtime	0
TOP.614513c9.000417f6	user_options->scrypt_tmto	0
TOP.614513c9.000417f6	user_options->segment_size	33554432
TOP.614513c9.000417f6	user_options->self_test_disable	0
TOP.614513c9.000417f6	user_options->slow_candidates	0
TOP.614513c9.000417f6	user_options->show	1
TOP.614513c9.000417f6	user_options->speed_only	0
TOP.614513c9.000417f6	user_options->spin_damp	0
TOP.614513c9.000417f6	user_options->status	0
TOP.614513c9.000417f6	user_options->status_json	0
TOP.614513c9.000417f6	user_options->status_timer	10
TOP.614513c9.000417f6	user_options->stdout_flag	0
TOP.614513c9.000417f6	user_options->usage	0
TOP.614513c9.000417f6	user_options->username	0
TOP.614513c9.000417f6	user_options->veracrypt_pim_start	485
TOP.614513c9.000417f6	user_options->veracrypt_pim_stop	485
TOP.614513c9.000417f6	user_options->version	0
TOP.614513c9.000417f6	user_options->workload_profile	2
TOP.614513c9.000417f6	user_options->brain_client	0
TOP.614513c9.000417f6	user_options->brain_client_features	2
TOP.614513c9.000417f6	user_options->brain_server	0
TOP.614513c9.000417f6	user_options->brain_server_timer	300
TOP.614513c9.000417f6	user_options->brain_port	6863
TOP.614513c9.000417f6	user_options->brain_session	0
TOP.614513c9.000417f6	proc_start	1631917001
TOP.614513c9.000417f6	proc_stop	1631917001
TOP.614513c9.000417f6	STOP
TOP.61451424.000a872f	START
TOP.61451424.000a872f	folder_config->cwd	D:\Desktop\Cyber-Oracle\src\venv\source_code\central_monitor\static\app_utilities\hashcat
TOP.61451424.000a872f	folder_config->install_dir	.
TOP.61451424.000a872f	folder_config->profile_dir	.
TOP.61451424.000a872f	folder_config->session_dir	.
TOP.61451424.000a872f	folder_config->shared_dir	.
TOP.61451424.000a872f	user_options->encoding_from	utf-8
TOP.61451424.000a872f	user_options->encoding_to	utf-8
TOP.61451424.000a872f	user_options->rule_buf_l	:
TOP.61451424.000a872f	user_options->rule_buf_r	:
TOP.61451424.000a872f	user_options->session	show
TOP.61451424.000a872f	user_options->separator	:
TOP.61451424.000a872f	user_options->limit	0
TOP.61451424.000a872f	user_options->skip	0
TOP.61451424.000a872f	user_options->attack_mode	100
TOP.61451424.000a872f	user_options->benchmark	0
TOP.61451424.000a872f	user_options->benchmark_all	0
TOP.61451424.000a872f	user_options->bitmap_max	18
TOP.61451424.000a872f	user_options->bitmap_min	16
TOP.61451424.000a872f	user_options->debug_mode	0
TOP.61451424.000a872f	user_options->hash_info	0
TOP.61451424.000a872f	user_options->force	0
TOP.61451424.000a872f	user_options->hwmon_disable	0
TOP.61451424.000a872f	user_options->hwmon_temp_abort	90
TOP.61451424.000a872f	user_options->hash_mode	1000
TOP.61451424.000a872f	user_options->hex_charset	0
TOP.61451424.000a872f	user_options->hex_salt	0
TOP.61451424.000a872f	user_options->hex_wordlist	0
TOP.61451424.000a872f	user_options->hook_threads	0
TOP.61451424.000a872f	user_options->identify	0
TOP.61451424.000a872f	user_options->increment	0
TOP.61451424.000a872f	user_options->increment_max	256
TOP.61451424.000a872f	user_options->increment_min	1
TOP.61451424.000a872f	user_options->keep_guessing	0
TOP.61451424.000a872f	user_options->kernel_accel	0
TOP.61451424.000a872f	user_options->kernel_loops	0
TOP.61451424.000a872f	user_options->kernel_threads	0
TOP.61451424.000a872f	user_options->keyspace	0
TOP.61451424.000a872f	user_options->left	0
TOP.61451424.000a872f	user_options->logfile_disable	0
TOP.61451424.000a872f	user_options->loopback	0
TOP.61451424.000a872f	user_options->machine_readable	0
TOP.61451424.000a872f	user_options->markov_classic	0
TOP.61451424.000a872f	user_options->markov_disable	0
TOP.61451424.000a872f	user_options->markov_inverse	0
TOP.61451424.000a872f	user_options->markov_threshold	256
TOP.61451424.000a872f	user_options->multiply_accel_disable	0
TOP.61451424.000a872f	user_options->backend_info	0
TOP.61451424.000a872f	user_options->backend_vector_width	0
TOP.61451424.000a872f	user_options->optimized_kernel_enable	0
TOP.61451424.000a872f	user_options->outfile_autohex	1
TOP.61451424.000a872f	user_options->outfile_check_timer	5
TOP.61451424.000a872f	user_options->outfile_format	3
TOP.61451424.000a872f	user_options->wordlist_autohex_disable	0
TOP.61451424.000a872f	user_options->potfile_disable	0
TOP.61451424.000a872f	user_options->progress_only	0
TOP.61451424.000a872f	user_options->quiet	1
TOP.61451424.000a872f	user_options->remove	0
TOP.61451424.000a872f	user_options->remove_timer	60
TOP.61451424.000a872f	user_options->restore	0
TOP.61451424.000a872f	user_options->restore_disable	1
TOP.61451424.000a872f	user_options->restore_timer	60
TOP.61451424.000a872f	user_options->rp_files_cnt	0
TOP.61451424.000a872f	user_options->rp_gen	0
TOP.61451424.000a872f	user_options->rp_gen_func_max	4
TOP.61451424.000a872f	user_options->rp_gen_func_min	1
TOP.61451424.000a872f	user_options->rp_gen_seed	0
TOP.61451424.000a872f	user_options->runtime	0
TOP.61451424.000a872f	user_options->scrypt_tmto	0
TOP.61451424.000a872f	user_options->segment_size	33554432
TOP.61451424.000a872f	user_options->self_test_disable	0
TOP.61451424.000a872f	user_options->slow_candidates	0
TOP.61451424.000a872f	user_options->show	1
TOP.61451424.000a872f	user_options->speed_only	0
TOP.61451424.000a872f	user_options->spin_damp	0
TOP.61451424.000a872f	user_options->status	0
TOP.61451424.000a872f	user_options->status_json	0
TOP.61451424.000a872f	user_options->status_timer	10
TOP.61451424.000a872f	user_options->stdout_flag	0
TOP.61451424.000a872f	user_options->usage	0
TOP.61451424.000a872f	user_options->username	0
TOP.61451424.000a872f	user_options->veracrypt_pim_start	485
TOP.61451424.000a872f	user_options->veracrypt_pim_stop	485
TOP.61451424.000a872f	user_options->version	0
TOP.61451424.000a872f	user_options->workload_profile	2
TOP.61451424.000a872f	user_options->brain_client	0
TOP.61451424.000a872f	user_options->brain_client_features	2
TOP.61451424.000a872f	user_options->brain_server	0
TOP.61451424.000a872f	user_options->brain_server_timer	300
TOP.61451424.000a872f	user_options->brain_port	6863
TOP.61451424.000a872f	user_options->brain_session	0
TOP.61451424.000a872f	proc_start	1631917092
TOP.61451424.000a872f	proc_stop	1631917093
TOP.61451424.000a872f	STOP
TOP.614514a9.0001c53e	START
TOP.614514a9.0001c53e	folder_config->cwd	D:\Desktop\Cyber-Oracle\src\venv\source_code\central_monitor\static\app_utilities\hashcat
TOP.614514a9.0001c53e	folder_config->install_dir	.
TOP.614514a9.0001c53e	folder_config->profile_dir	.
TOP.614514a9.0001c53e	folder_config->session_dir	.
TOP.614514a9.0001c53e	folder_config->shared_dir	.
TOP.614514a9.0001c53e	user_options->encoding_from	utf-8
TOP.614514a9.0001c53e	user_options->encoding_to	utf-8
TOP.614514a9.0001c53e	user_options->rule_buf_l	:
TOP.614514a9.0001c53e	user_options->rule_buf_r	:
TOP.614514a9.0001c53e	user_options->session	show
TOP.614514a9.0001c53e	user_options->separator	:
TOP.614514a9.0001c53e	user_options->limit	0
TOP.614514a9.0001c53e	user_options->skip	0
TOP.614514a9.0001c53e	user_options->attack_mode	100
TOP.614514a9.0001c53e	user_options->benchmark	0
TOP.614514a9.0001c53e	user_options->benchmark_all	0
TOP.614514a9.0001c53e	user_options->bitmap_max	18
TOP.614514a9.0001c53e	user_options->bitmap_min	16
TOP.614514a9.0001c53e	user_options->debug_mode	0
TOP.614514a9.0001c53e	user_options->hash_info	0
TOP.614514a9.0001c53e	user_options->force	0
TOP.614514a9.0001c53e	user_options->hwmon_disable	0
TOP.614514a9.0001c53e	user_options->hwmon_temp_abort	90
TOP.614514a9.0001c53e	user_options->hash_mode	1000
TOP.614514a9.0001c53e	user_options->hex_charset	0
TOP.614514a9.0001c53e	user_options->hex_salt	0
TOP.614514a9.0001c53e	user_options->hex_wordlist	0
TOP.614514a9.0001c53e	user_options->hook_threads	0
TOP.614514a9.0001c53e	user_options->identify	0
TOP.614514a9.0001c53e	user_options->increment	0
TOP.614514a9.0001c53e	user_options->increment_max	256
TOP.614514a9.0001c53e	user_options->increment_min	1
TOP.614514a9.0001c53e	user_options->keep_guessing	0
TOP.614514a9.0001c53e	user_options->kernel_accel	0
TOP.614514a9.0001c53e	user_options->kernel_loops	0
TOP.614514a9.0001c53e	user_options->kernel_threads	0
TOP.614514a9.0001c53e	user_options->keyspace	0
TOP.614514a9.0001c53e	user_options->left	0
TOP.614514a9.0001c53e	user_options->logfile_disable	0
TOP.614514a9.0001c53e	user_options->loopback	0
TOP.614514a9.0001c53e	user_options->machine_readable	0
TOP.614514a9.0001c53e	user_options->markov_classic	0
TOP.614514a9.0001c53e	user_options->markov_disable	0
TOP.614514a9.0001c53e	user_options->markov_inverse	0
TOP.614514a9.0001c53e	user_options->markov_threshold	256
TOP.614514a9.0001c53e	user_options->multiply_accel_disable	0
TOP.614514a9.0001c53e	user_options->backend_info	0
TOP.614514a9.0001c53e	user_options->backend_vector_width	0
TOP.614514a9.0001c53e	user_options->optimized_kernel_enable	0
TOP.614514a9.0001c53e	user_options->outfile_autohex	1
TOP.614514a9.0001c53e	user_options->outfile_check_timer	5
TOP.614514a9.0001c53e	user_options->outfile_format	3
TOP.614514a9.0001c53e	user_options->wordlist_autohex_disable	0
TOP.614514a9.0001c53e	user_options->potfile_disable	0
TOP.614514a9.0001c53e	user_options->progress_only	0
TOP.614514a9.0001c53e	user_options->quiet	1
TOP.614514a9.0001c53e	user_options->remove	0
TOP.614514a9.0001c53e	user_options->remove_timer	60
TOP.614514a9.0001c53e	user_options->restore	0
TOP.614514a9.0001c53e	user_options->restore_disable	1
TOP.614514a9.0001c53e	user_options->restore_timer	60
TOP.614514a9.0001c53e	user_options->rp_files_cnt	0
TOP.614514a9.0001c53e	user_options->rp_gen	0
TOP.614514a9.0001c53e	user_options->rp_gen_func_max	4
TOP.614514a9.0001c53e	user_options->rp_gen_func_min	1
TOP.614514a9.0001c53e	user_options->rp_gen_seed	0
TOP.614514a9.0001c53e	user_options->runtime	0
TOP.614514a9.0001c53e	user_options->scrypt_tmto	0
TOP.614514a9.0001c53e	user_options->segment_size	33554432
TOP.614514a9.0001c53e	user_options->self_test_disable	0
TOP.614514a9.0001c53e	user_options->slow_candidates	0
TOP.614514a9.0001c53e	user_options->show	1
TOP.614514a9.0001c53e	user_options->speed_only	0
TOP.614514a9.0001c53e	user_options->spin_damp	0
TOP.614514a9.0001c53e	user_options->status	0
TOP.614514a9.0001c53e	user_options->status_json	0
TOP.614514a9.0001c53e	user_options->status_timer	10
TOP.614514a9.0001c53e	user_options->stdout_flag	0
TOP.614514a9.0001c53e	user_options->usage	0
TOP.614514a9.0001c53e	user_options->username	0
TOP.614514a9.0001c53e	user_options->veracrypt_pim_start	485
TOP.614514a9.0001c53e	user_options->veracrypt_pim_stop	485
TOP.614514a9.0001c53e	user_options->version	0
TOP.614514a9.0001c53e	user_options->workload_profile	2
TOP.614514a9.0001c53e	user_options->brain_client	0
TOP.614514a9.0001c53e	user_options->brain_client_features	2
TOP.614514a9.0001c53e	user_options->brain_server	0
TOP.614514a9.0001c53e	user_options->brain_server_timer	300
TOP.614514a9.0001c53e	user_options->brain_port	6863
TOP.614514a9.0001c53e	user_options->brain_session	0
TOP.614514a9.0001c53e	proc_start	1631917225
TOP.614514a9.0001c53e	proc_stop	1631917225
TOP.614514a9.0001c53e	STOP
TOP.614514d8.00088ff1	START
TOP.614514d8.00088ff1	folder_config->cwd	D:\Desktop\Cyber-Oracle\src\venv\source_code\central_monitor\static\app_utilities\hashcat
TOP.614514d8.00088ff1	folder_config->install_dir	.
TOP.614514d8.00088ff1	folder_config->profile_dir	.
TOP.614514d8.00088ff1	folder_config->session_dir	.
TOP.614514d8.00088ff1	folder_config->shared_dir	.
TOP.614514d8.00088ff1	user_options->encoding_from	utf-8
TOP.614514d8.00088ff1	user_options->encoding_to	utf-8
TOP.614514d8.00088ff1	user_options->rule_buf_l	:
TOP.614514d8.00088ff1	user_options->rule_buf_r	:
TOP.614514d8.00088ff1	user_options->session	show
TOP.614514d8.00088ff1	user_options->separator	:
TOP.614514d8.00088ff1	user_options->limit	0
TOP.614514d8.00088ff1	user_options->skip	0
TOP.614514d8.00088ff1	user_options->attack_mode	100
TOP.614514d8.00088ff1	user_options->benchmark	0
TOP.614514d8.00088ff1	user_options->benchmark_all	0
TOP.614514d8.00088ff1	user_options->bitmap_max	18
TOP.614514d8.00088ff1	user_options->bitmap_min	16
TOP.614514d8.00088ff1	user_options->debug_mode	0
TOP.614514d8.00088ff1	user_options->hash_info	0
TOP.614514d8.00088ff1	user_options->force	0
TOP.614514d8.00088ff1	user_options->hwmon_disable	0
TOP.614514d8.00088ff1	user_options->hwmon_temp_abort	90
TOP.614514d8.00088ff1	user_options->hash_mode	1000
TOP.614514d8.00088ff1	user_options->hex_charset	0
TOP.614514d8.00088ff1	user_options->hex_salt	0
TOP.614514d8.00088ff1	user_options->hex_wordlist	0
TOP.614514d8.00088ff1	user_options->hook_threads	0
TOP.614514d8.00088ff1	user_options->identify	0
TOP.614514d8.00088ff1	user_options->increment	0
TOP.614514d8.00088ff1	user_options->increment_max	256
TOP.614514d8.00088ff1	user_options->increment_min	1
TOP.614514d8.00088ff1	user_options->keep_guessing	0
TOP.614514d8.00088ff1	user_options->kernel_accel	0
TOP.614514d8.00088ff1	user_options->kernel_loops	0
TOP.614514d8.00088ff1	user_options->kernel_threads	0
TOP.614514d8.00088ff1	user_options->keyspace	0
TOP.614514d8.00088ff1	user_options->left	0
TOP.614514d8.00088ff1	user_options->logfile_disable	0
TOP.614514d8.00088ff1	user_options->loopback	0
TOP.614514d8.00088ff1	user_options->machine_readable	0
TOP.614514d8.00088ff1	user_options->markov_classic	0
TOP.614514d8.00088ff1	user_options->markov_disable	0
TOP.614514d8.00088ff1	user_options->markov_inverse	0
TOP.614514d8.00088ff1	user_options->markov_threshold	256
TOP.614514d8.00088ff1	user_options->multiply_accel_disable	0
TOP.614514d8.00088ff1	user_options->backend_info	0
TOP.614514d8.00088ff1	user_options->backend_vector_width	0
TOP.614514d8.00088ff1	user_options->optimized_kernel_enable	0
TOP.614514d8.00088ff1	user_options->outfile_autohex	1
TOP.614514d8.00088ff1	user_options->outfile_check_timer	5
TOP.614514d8.00088ff1	user_options->outfile_format	3
TOP.614514d8.00088ff1	user_options->wordlist_autohex_disable	0
TOP.614514d8.00088ff1	user_options->potfile_disable	0
TOP.614514d8.00088ff1	user_options->progress_only	0
TOP.614514d8.00088ff1	user_options->quiet	1
TOP.614514d8.00088ff1	user_options->remove	0
TOP.614514d8.00088ff1	user_options->remove_timer	60
TOP.614514d8.00088ff1	user_options->restore	0
TOP.614514d8.00088ff1	user_options->restore_disable	1
TOP.614514d8.00088ff1	user_options->restore_timer	60
TOP.614514d8.00088ff1	user_options->rp_files_cnt	0
TOP.614514d8.00088ff1	user_options->rp_gen	0
TOP.614514d8.00088ff1	user_options->rp_gen_func_max	4
TOP.614514d8.00088ff1	user_options->rp_gen_func_min	1
TOP.614514d8.00088ff1	user_options->rp_gen_seed	0
TOP.614514d8.00088ff1	user_options->runtime	0
TOP.614514d8.00088ff1	user_options->scrypt_tmto	0
TOP.614514d8.00088ff1	user_options->segment_size	33554432
TOP.614514d8.00088ff1	user_options->self_test_disable	0
TOP.614514d8.00088ff1	user_options->slow_candidates	0
TOP.614514d8.00088ff1	user_options->show	1
TOP.614514d8.00088ff1	user_options->speed_only	0
TOP.614514d8.00088ff1	user_options->spin_damp	0
TOP.614514d8.00088ff1	user_options->status	0
TOP.614514d8.00088ff1	user_options->status_json	0
TOP.614514d8.00088ff1	user_options->status_timer	10
TOP.614514d8.00088ff1	user_options->stdout_flag	0
TOP.614514d8.00088ff1	user_options->usage	0
TOP.614514d8.00088ff1	user_options->username	0
TOP.614514d8.00088ff1	user_options->veracrypt_pim_start	485
TOP.614514d8.00088ff1	user_options->veracrypt_pim_stop	485
TOP.614514d8.00088ff1	user_options->version	0
TOP.614514d8.00088ff1	user_options->workload_profile	2
TOP.614514d8.00088ff1	user_options->brain_client	0
TOP.614514d8.00088ff1	user_options->brain_client_features	2
TOP.614514d8.00088ff1	user_options->brain_server	0
TOP.614514d8.00088ff1	user_options->brain_server_timer	300
TOP.614514d8.00088ff1	user_options->brain_port	6863
TOP.614514d8.00088ff1	user_options->brain_session	0
TOP.614514d8.00088ff1	proc_start	1631917272
TOP.614514d8.00088ff1	proc_stop	1631917273
TOP.614514d8.00088ff1	STOP
TOP.614515c2.00093cee	START
TOP.614515c2.00093cee	folder_config->cwd	D:\Desktop\Cyber-Oracle\src\venv\source_code\central_monitor\static\app_utilities\hashcat
TOP.614515c2.00093cee	folder_config->install_dir	.
TOP.614515c2.00093cee	folder_config->profile_dir	.
TOP.614515c2.00093cee	folder_config->session_dir	.
TOP.614515c2.00093cee	folder_config->shared_dir	.
TOP.614515c2.00093cee	user_options->encoding_from	utf-8
TOP.614515c2.00093cee	user_options->encoding_to	utf-8
TOP.614515c2.00093cee	user_options->rule_buf_l	:
TOP.614515c2.00093cee	user_options->rule_buf_r	:
TOP.614515c2.00093cee	user_options->session	show
TOP.614515c2.00093cee	user_options->separator	:
TOP.614515c2.00093cee	user_options->limit	0
TOP.614515c2.00093cee	user_options->skip	0
TOP.614515c2.00093cee	user_options->attack_mode	100
TOP.614515c2.00093cee	user_options->benchmark	0
TOP.614515c2.00093cee	user_options->benchmark_all	0
TOP.614515c2.00093cee	user_options->bitmap_max	18
TOP.614515c2.00093cee	user_options->bitmap_min	16
TOP.614515c2.00093cee	user_options->debug_mode	0
TOP.614515c2.00093cee	user_options->hash_info	0
TOP.614515c2.00093cee	user_options->force	0
TOP.614515c2.00093cee	user_options->hwmon_disable	0
TOP.614515c2.00093cee	user_options->hwmon_temp_abort	90
TOP.614515c2.00093cee	user_options->hash_mode	1000
TOP.614515c2.00093cee	user_options->hex_charset	0
TOP.614515c2.00093cee	user_options->hex_salt	0
TOP.614515c2.00093cee	user_options->hex_wordlist	0
TOP.614515c2.00093cee	user_options->hook_threads	0
TOP.614515c2.00093cee	user_options->identify	0
TOP.614515c2.00093cee	user_options->increment	0
TOP.614515c2.00093cee	user_options->increment_max	256
TOP.614515c2.00093cee	user_options->increment_min	1
TOP.614515c2.00093cee	user_options->keep_guessing	0
TOP.614515c2.00093cee	user_options->kernel_accel	0
TOP.614515c2.00093cee	user_options->kernel_loops	0
TOP.614515c2.00093cee	user_options->kernel_threads	0
TOP.614515c2.00093cee	user_options->keyspace	0
TOP.614515c2.00093cee	user_options->left	0
TOP.614515c2.00093cee	user_options->logfile_disable	0
TOP.614515c2.00093cee	user_options->loopback	0
TOP.614515c2.00093cee	user_options->machine_readable	0
TOP.614515c2.00093cee	user_options->markov_classic	0
TOP.614515c2.00093cee	user_options->markov_disable	0
TOP.614515c2.00093cee	user_options->markov_inverse	0
TOP.614515c2.00093cee	user_options->markov_threshold	256
TOP.614515c2.00093cee	user_options->multiply_accel_disable	0
TOP.614515c2.00093cee	user_options->backend_info	0
TOP.614515c2.00093cee	user_options->backend_vector_width	0
TOP.614515c2.00093cee	user_options->optimized_kernel_enable	0
TOP.614515c2.00093cee	user_options->outfile_autohex	1
TOP.614515c2.00093cee	user_options->outfile_check_timer	5
TOP.614515c2.00093cee	user_options->outfile_format	3
TOP.614515c2.00093cee	user_options->wordlist_autohex_disable	0
TOP.614515c2.00093cee	user_options->potfile_disable	0
TOP.614515c2.00093cee	user_options->progress_only	0
TOP.614515c2.00093cee	user_options->quiet	1
TOP.614515c2.00093cee	user_options->remove	0
TOP.614515c2.00093cee	user_options->remove_timer	60
TOP.614515c2.00093cee	user_options->restore	0
TOP.614515c2.00093cee	user_options->restore_disable	1
TOP.614515c2.00093cee	user_options->restore_timer	60
TOP.614515c2.00093cee	user_options->rp_files_cnt	0
TOP.614515c2.00093cee	user_options->rp_gen	0
TOP.614515c2.00093cee	user_options->rp_gen_func_max	4
TOP.614515c2.00093cee	user_options->rp_gen_func_min	1
TOP.614515c2.00093cee	user_options->rp_gen_seed	0
TOP.614515c2.00093cee	user_options->runtime	0
TOP.614515c2.00093cee	user_options->scrypt_tmto	0
TOP.614515c2.00093cee	user_options->segment_size	33554432
TOP.614515c2.00093cee	user_options->self_test_disable	0
TOP.614515c2.00093cee	user_options->slow_candidates	0
TOP.614515c2.00093cee	user_options->show	1
TOP.614515c2.00093cee	user_options->speed_only	0
TOP.614515c2.00093cee	user_options->spin_damp	0
TOP.614515c2.00093cee	user_options->status	0
TOP.614515c2.00093cee	user_options->status_json	0
TOP.614515c2.00093cee	user_options->status_timer	10
TOP.614515c2.00093cee	user_options->stdout_flag	0
TOP.614515c2.00093cee	user_options->usage	0
TOP.614515c2.00093cee	user_options->username	0
TOP.614515c2.00093cee	user_options->veracrypt_pim_start	485
TOP.614515c2.00093cee	user_options->veracrypt_pim_stop	485
TOP.614515c2.00093cee	user_options->version	0
TOP.614515c2.00093cee	user_options->workload_profile	2
TOP.614515c2.00093cee	user_options->brain_client	0
TOP.614515c2.00093cee	user_options->brain_client_features	2
TOP.614515c2.00093cee	user_options->brain_server	0
TOP.614515c2.00093cee	user_options->brain_server_timer	300
TOP.614515c2.00093cee	user_options->brain_port	6863
TOP.614515c2.00093cee	user_options->brain_session	0
TOP.614515c2.00093cee	proc_start	1631917506
TOP.614515c2.00093cee	proc_stop	1631917507
TOP.614515c2.00093cee	STOP
TOP.6145164a.000b54aa	START
TOP.6145164a.000b54aa	folder_config->cwd	D:\Desktop\Cyber-Oracle\src\venv\source_code\central_monitor\static\app_utilities\hashcat
TOP.6145164a.000b54aa	folder_config->install_dir	.
TOP.6145164a.000b54aa	folder_config->profile_dir	.
TOP.6145164a.000b54aa	folder_config->session_dir	.
TOP.6145164a.000b54aa	folder_config->shared_dir	.
TOP.6145164a.000b54aa	user_options->encoding_from	utf-8
TOP.6145164a.000b54aa	user_options->encoding_to	utf-8
TOP.6145164a.000b54aa	user_options->rule_buf_l	:
TOP.6145164a.000b54aa	user_options->rule_buf_r	:
TOP.6145164a.000b54aa	user_options->session	show
TOP.6145164a.000b54aa	user_options->separator	:
TOP.6145164a.000b54aa	user_options->limit	0
